"constructorStandingsId","raceId","constructorId","points","position","positionText","wins","X"
25943,901,1,43,2,"2",0,NA
25942,901,131,68,1,"1",2,NA
25941,900,9,0,11,"11",0,NA
25940,900,207,0,10,"10",0,NA
25938,900,206,0,8,"8",0,NA
25939,900,208,0,9,"9",0,NA
25937,900,15,0,7,"7",0,NA
25936,900,5,6,6,"6",0,NA
25935,900,10,9,5,"5",0,NA
25934,900,3,10,4,"4",0,NA
25933,900,6,18,3,"3",0,NA
25932,900,1,33,1,"1",0,NA
25931,900,131,25,2,"2",1,NA
25944,901,6,30,3,"3",0,NA
25945,901,3,20,4,"4",0,NA
25946,901,10,19,5,"5",0,NA
25947,901,5,7,7,"7",0,NA
25948,901,15,0,8,"8",0,NA
25949,901,206,0,11,"11",0,NA
25950,901,208,0,9,"9",0,NA
25951,901,207,0,10,"10",0,NA
25952,901,9,15,6,"6",0,NA
25953,902,131,111,1,"1",3,NA
25954,902,1,43,3,"3",0,NA
25955,902,6,33,5,"5",0,NA
25956,902,3,30,6,"6",0,NA
25957,902,10,44,2,"2",0,NA
25958,902,5,7,7,"7",0,NA
25959,902,15,0,9,"9",0,NA
25960,902,206,0,10,"10",0,NA
25961,902,208,0,8,"8",0,NA
25962,902,207,0,11,"11",0,NA
25963,902,9,35,4,"4",0,NA
25964,903,131,154,1,"1",4,NA
25965,903,1,43,5,"5",0,NA
25966,903,6,52,4,"4",0,NA
25967,903,3,36,6,"6",0,NA
25968,903,10,54,3,"3",0,NA
25969,903,5,8,7,"7",0,NA
25970,903,15,0,9,"9",0,NA
25971,903,206,0,10,"10",0,NA
25972,903,208,0,8,"8",0,NA
25973,903,207,0,11,"11",0,NA
25974,903,9,57,2,"2",0,NA
25975,904,131,197,1,"1",5,NA
25976,904,1,43,6,"6",0,NA
25977,904,6,66,3,"3",0,NA
25978,904,3,46,5,"5",0,NA
25979,904,10,57,4,"4",0,NA
25980,904,5,8,7,"7",0,NA
25981,904,15,0,9,"9",0,NA
25982,904,206,0,10,"10",0,NA
25983,904,208,4,8,"8",0,NA
25984,904,207,0,11,"11",0,NA
25985,904,9,84,2,"2",0,NA
25986,905,131,240,1,"1",6,NA
25987,905,1,52,5,"5",0,NA
25988,905,6,78,3,"3",0,NA
25989,905,3,52,6,"6",0,NA
25990,905,10,67,4,"4",0,NA
25991,905,5,8,8,"8",0,NA
25992,905,15,0,10,"10",0,NA
