"driverStandingsId","raceId","driverId","points","position","positionText","wins"
68160,969,830,10,5,"5",0
68159,969,8,12,4,"4",0
68158,969,822,15,3,"3",0
68157,969,1,18,2,"2",0
68156,969,20,25,1,"1",1
66632,900,13,0,20,"20",0
66630,900,20,0,18,"18",0
66628,900,813,0,16,"16",0
66626,900,824,0,14,"14",0
66624,900,821,0,12,"12",0
66614,900,825,18,2,"2",0
66615,900,18,15,3,"3",0
66616,900,4,12,4,"4",0
66617,900,822,10,5,"5",0
66618,900,807,8,6,"6",0
66619,900,8,6,7,"7",0
66633,900,155,0,21,"21",0
66631,900,1,0,19,"19",0
66629,900,828,0,17,"17",0
66627,900,154,0,15,"15",0
66625,900,820,0,13,"13",0
66623,900,16,0,11,"11",0
66622,900,815,1,10,"10",0
66621,900,826,2,9,"9",0
66620,900,818,4,8,"8",0
66613,900,3,25,1,"1",1
66634,900,817,0,22,"22",0
66635,901,3,43,1,"1",1
66636,901,825,20,5,"5",0
66637,901,18,23,4,"4",0
66638,901,4,24,3,"3",0
66639,901,822,14,8,"8",0
66640,901,807,18,6,"6",0
66641,901,8,6,9,"9",0
66642,901,818,4,11,"11",0
66643,901,826,3,12,"12",0
66644,901,815,1,13,"13",0
66645,901,16,0,15,"15",0
66646,901,821,0,16,"16",0
66647,901,820,0,17,"17",0
66648,901,824,0,20,"20",0
66649,901,154,0,14,"14",0
66650,901,813,0,21,"21",0
66651,901,828,0,19,"19",0
66652,901,20,15,7,"7",0
66653,901,1,25,2,"2",1
66654,901,13,6,10,"10",0
66655,901,155,0,18,"18",0
66656,901,817,0,22,"22",0
66657,902,3,61,1,"1",1
66658,902,825,20,7,"7",0
66659,902,18,23,5,"5",0
66660,902,4,26,4,"4",0
66661,902,822,18,8,"8",0
66662,902,807,28,3,"3",0
66663,902,8,7,12,"12",0
66664,902,818,4,13,"13",0
66665,902,826,3,14,"14",0
66666,902,815,16,9,"9",0
66667,902,16,0,16,"16",0
66668,902,821,0,17,"17",0
66669,902,820,0,18,"18",0
66670,902,824,0,22,"22",0
66671,902,154,0,15,"15",0
66672,902,813,0,20,"20",0
66673,902,828,0,21,"21",0
66674,902,20,23,6,"6",0
66675,902,1,50,2,"2",2
66676,902,13,12,11,"11",0
66677,902,155,0,19,"19",0
66678,902,817,12,10,"10",0
66679,903,3,79,1,"1",1
66680,903,825,20,9,"9",0
66681,903,18,23,8,"8",0
66682,903,4,41,3,"3",0
66683,903,822,24,7,"7",0
66684,903,807,36,4,"4",0
66685,903,8,11,12,"12",0
66686,903,818,4,13,"13",0
66687,903,826,4,14,"14",0
66688,903,815,18,10,"10",0
66689,903,16,0,16,"16",0
66690,903,821,0,17,"17",0
66691,903,820,0,18,"18",0
66692,903,824,0,22,"22",0
66693,903,154,0,15,"15",0
66694,903,813,0,20,"20",0
66695,903,828,0,21,"21",0
66696,903,20,33,5,"5",0
66697,903,1,75,2,"2",3
66698,903,13,12,11,"11",0
66699,903,155,0,19,"19",0
66700,903,817,24,6,"6",0
66701,904,3,97,2,"2",1
66702,904,825,20,9,"9",0
66703,904,18,23,8,"8",0
66704,904,4,49,3,"3",0
66705,904,822,34,7,"7",0
66706,904,807,37,6,"6",0
66707,904,8,17,11,"11",0
66708,904,818,4,14,"14",0
66709,904,826,4,15,"15",0
66710,904,815,20,10,"10",0
66711,904,16,0,16,"16",0
66712,904,821,0,17,"17",0
66713,904,820,0,18,"18",0
66714,904,824,0,22,"22",0
66715,904,154,4,13,"13",0
66716,904,813,0,20,"20",0
66717,904,828,0,21,"21",0
66718,904,20,45,4,"4",0
66719,904,1,100,1,"1",4
66720,904,13,12,12,"12",0
66721,904,155,0,19,"19",0
66722,904,817,39,5,"5",0
66723,905,3,122,1,"1",2
66724,905,825,21,9,"9",0
66725,905,18,31,8,"8",0
66726,905,4,61,3,"3",0
66727,905,822,34,7,"7",0
66728,905,807,47,5,"5",0
66729,905,8,17,12,"12",0
66730,905,818,4,14,"14",0
66731,905,826,4,15,"15",0
66732,905,815,20,10,"10",0
66733,905,16,0,18,"18",0
66734,905,821,0,19,"19",0
66735,905,820,0,20,"20",0
66736,905,824,2,16,"16",0
66737,905,154,8,13,"13",0
66738,905,813,0,22,"22",0
66739,905,828,0,17,"17",0
66740,905,20,45,6,"6",0
66741,905,1,118,2,"2",4
66742,905,13,18,11,"11",0
66743,905,155,0,21,"21",0
66744,905,817,54,4,"4",0
66745,906,3,140,1,"1",2
66746,906,825,23,9,"9",0
66747,906,18,43,7,"7",0
66748,906,4,69,4,"4",0
66749,906,822,40,8,"8",0
66750,906,807,57,6,"6",0
66751,906,8,18,12,"12",0
66752,906,818,8,14,"14",0
66753,906,826,4,15,"15",0
66754,906,815,20,10,"10",0
66755,906,16,0,17,"17",0
66756,906,821,0,19,"19",0
66757,906,820,0,20,"20",0
66758,906,824,2,16,"16",0
66759,906,154,8,13,"13",0
66760,906,813,0,22,"22",0
66761,906,828,0,18,"18",0
66762,906,20,60,5,"5",0
66763,906,1,118,2,"2",4
66764,906,13,18,11,"11",0
66765,906,155,0,21,"21",0
66766,906,817,79,3,"3",1
66767,907,3,165,1,"1",3
66768,907,825,29,10,"10",0
66769,907,18,43,8,"8",0
66770,907,4,79,4,"4",0
66771,907,822,55,7,"7",0
66772,907,807,59,6,"6",0
66773,907,8,19,12,"12",0
66774,907,818,8,14,"14",0
66775,907,826,4,15,"15",0
66776,907,815,28,11,"11",0
66777,907,16,0,17,"17",0
66778,907,821,0,20,"20",0
66779,907,820,0,21,"21",0
66780,907,824,2,16,"16",0
66781,907,154,8,13,"13",0
66782,907,813,0,19,"19",0
66783,907,828,0,18,"18",0
66784,907,20,60,5,"5",0
66785,907,1,136,2,"2",4
66786,907,13,30,9,"9",0
66787,907,155,0,22,"22",0
66788,907,817,83,3,"3",1
66789,908,3,165,1,"1",3
66790,908,825,35,9,"9",0
66791,908,18,55,8,"8",0
66792,908,4,87,4,"4",0
66793,908,822,73,5,"5",0
66794,908,807,63,7,"7",0
66795,908,8,19,12,"12",0
66796,908,818,9,13,"13",0
66797,908,826,6,15,"15",0
66798,908,815,28,11,"11",0
66799,908,16,0,17,"17",0
66800,908,821,0,20,"20",0
66801,908,820,0,21,"21",0
66802,908,824,2,16,"16",0
66803,908,154,8,14,"14",0
66804,908,813,0,19,"19",0
66805,908,828,0,18,"18",0
66806,908,20,70,6,"6",0
66807,908,1,161,2,"2",5
66808,908,13,30,10,"10",0
66809,908,155,0,22,"22",0
66810,908,817,98,3,"3",1
66811,909,3,190,1,"1",4
66812,909,825,37,9,"9",0
66813,909,18,59,8,"8",0
66814,909,4,97,4,"4",0
66815,909,822,91,5,"5",0
66816,909,807,69,7,"7",0
66817,909,8,19,12,"12",0
66818,909,818,9,13,"13",0
66819,909,826,6,15,"15",0
66820,909,815,29,11,"11",0
66821,909,16,0,17,"17",0
66822,909,821,0,20,"20",0
66823,909,820,0,21,"21",0
66824,909,824,2,16,"16",0
66825,909,154,8,14,"14",0
66826,909,813,0,19,"19",0
66827,909,828,0,18,"18",0
66828,909,20,82,6,"6",0
66829,909,1,176,2,"2",5
66830,909,13,30,10,"10",0
66831,909,155,0,22,"22",0
66832,909,817,106,3,"3",1
66833,910,3,202,1,"1",4
66834,910,825,37,10,"10",0
66835,910,18,60,8,"8",0
66836,910,4,115,4,"4",0
66837,910,822,95,5,"5",0
66838,910,807,69,7,"7",0
66839,910,8,27,12,"12",0
66840,910,818,11,13,"13",0
66841,910,826,6,15,"15",0
66842,910,815,29,11,"11",0
66843,910,16,0,17,"17",0
66844,910,821,0,20,"20",0
66845,910,820,0,21,"21",0
66846,910,824,2,16,"16",0
66847,910,154,8,14,"14",0
66848,910,813,0,19,"19",0
66849,910,828,0,18,"18",0
66850,910,20,88,6,"6",0
66851,910,1,191,2,"2",5
66852,910,13,40,9,"9",0
66853,910,155,0,22,"22",0
66854,910,817,131,3,"3",2
66855,911,3,220,1,"1",4
66856,911,825,37,11,"11",0
66857,911,18,68,8,"8",0
66858,911,4,121,4,"4",0
66859,911,822,110,5,"5",0
66860,911,807,70,7,"7",0
66861,911,8,39,10,"10",0
66862,911,818,11,13,"13",0
66863,911,826,8,15,"15",0
66864,911,815,33,12,"12",0
66865,911,16,0,17,"17",0
66866,911,821,0,20,"20",0
66867,911,820,0,21,"21",0
66868,911,824,2,16,"16",0
66869,911,154,8,14,"14",0
66870,911,813,0,19,"19",0
66871,911,828,0,18,"18",0
66872,911,20,98,6,"6",0
66873,911,1,191,2,"2",5
66874,911,13,40,9,"9",0
66875,911,155,0,22,"22",0
66876,911,817,156,3,"3",3
66877,911,827,0,23,"23",0
66878,912,3,238,1,"1",4
66879,912,825,38,12,"12",0
66880,912,18,72,7,"7",0
66881,912,4,121,5,"5",0
66882,912,822,122,4,"4",0
66883,912,807,70,8,"8",0
66884,912,8,41,10,"10",0
66885,912,818,11,13,"13",0
66886,912,826,8,15,"15",0
66887,912,815,39,11,"11",0
66888,912,16,0,17,"17",0
66889,912,821,0,20,"20",0
66890,912,820,0,21,"21",0
66891,912,824,2,16,"16",0
66892,912,154,8,14,"14",0
66893,912,813,0,19,"19",0
66894,912,828,0,18,"18",0
66895,912,20,106,6,"6",0
66896,912,1,216,2,"2",6
66897,912,13,55,9,"9",0
66898,912,155,0,22,"22",0
