"qualifyId","raceId","driverId","constructorId","number","position","q1","q2","q3"
5860,900,1,131,44,1,"1:31.699","1:42.890","1:44.231"
5861,900,817,9,3,2,"1:30.775","1:42.295","1:44.548"
5862,900,3,131,6,3,"1:32.564","1:42.264","1:44.595"
5863,900,825,1,20,4,"1:30.949","1:43.247","1:45.745"
5864,900,4,6,14,5,"1:31.388","1:42.805","1:45.819"
5865,900,818,5,25,6,"1:33.488","1:43.849","1:45.864"
5866,900,807,10,27,7,"1:33.893","1:43.658","1:46.030"
5867,900,826,5,26,8,"1:33.777","1:44.331","1:47.368"
5868,900,13,3,19,9,"1:31.228","1:44.242","1:48.079"
5869,900,822,3,77,10,"1:31.601","1:43.852","1:48.147"
5870,900,18,1,22,11,"1:31.396","1:44.437","NULL"
5871,900,8,6,7,12,"1:32.439","1:44.494","NULL"
5872,900,20,9,1,13,"1:31.931","1:44.688","NULL"
5873,900,16,15,99,14,"1:33.673","1:45.655","NULL"
5874,900,155,207,10,15,"1:34.274","1:45.867","NULL"
5875,900,815,10,11,16,"1:34.141","1:47.293","NULL"
5876,900,820,206,4,17,"1:34.293","","NULL"
5877,900,824,206,17,18,"1:34.794","","NULL"
5878,900,821,15,21,19,"1:35.117","","NULL"
5879,900,828,207,9,20,"1:35.157","","NULL"
5880,900,154,208,8,21,"1:36.993","","NULL"
5881,900,813,208,13,22,"","","NULL"
5882,901,1,131,44,1,"1:57.202","1:59.041","1:59.431"
5883,901,20,9,1,2,"1:57.654","1:59.399","1:59.486"
5884,901,3,131,6,3,"1:57.183","1:59.445","2:00.050"
5885,901,4,6,14,4,"1:58.889","2:01.356","2:00.175"
5886,901,817,9,3,5,"1:58.913","2:00.147","2:00.541"
5887,901,8,6,7,6,"1:59.257","2:01.532","2:01.218"
5888,901,807,10,27,7,"1:58.883","2:00.839","2:01.712"
5889,901,825,1,20,8,"2:00.356","2:02.094","2:02.213"
5890,901,818,5,25,9,"2:01.689","2:02.096","2:03.078"
5891,901,18,1,22,10,"2:00.889","2:01.810","2:04.053"
5892,901,826,5,26,11,"2:01.175","2:02.351","NULL"
5893,901,821,15,21,12,"2:01.134","2:02.369","NULL"
5894,901,13,3,19,13,"2:00.047","2:02.460","NULL"
5895,901,815,10,11,14,"2:00.076","2:02.511","NULL"
5896,901,822,3,77,15,"1:59.709","2:02.756","NULL"
5897,901,154,208,8,16,"2:00.202","2:02.885","NULL"
5898,901,813,208,13,17,"2:02.074","","NULL"
5899,901,16,15,99,18,"2:02.131","","NULL"
5900,901,824,206,17,19,"2:02.702","","NULL"
5901,901,155,207,10,20,"2:03.595","","NULL"
5902,901,820,206,4,21,"2:04.388","","NULL"
5903,901,828,207,9,22,"2:04.407","","NULL"
5904,902,3,131,6,1,"1:35.439","1:33.708","1:33.185"
5905,902,1,131,44,2,"1:35.323","1:33.872","1:33.464"
5906,902,817,9,3,3,"1:36.220","1:34.592","1:34.051"
5907,902,822,3,77,4,"1:34.934","1:34.842","1:34.247"
5908,902,815,10,11,5,"1:34.998","1:34.747","1:34.346"
5909,902,8,6,7,6,"1:35.234","1:34.925","1:34.368"
5910,902,18,1,22,7,"1:35.699","1:34.714","1:34.387"
5911,902,13,3,19,8,"1:35.085","1:34.842","1:34.511"
5912,902,825,1,20,9,"1:35.288","1:34.904","1:34.712"
5913,902,4,6,14,10,"1:35.251","1:34.723","1:34.992"
5914,902,20,9,1,11,"1:35.549","1:34.985","NULL"
5915,902,807,10,27,12,"1:34.874","1:35.116","NULL"
5916,902,826,5,26,13,"1:35.395","1:35.145","NULL"
5917,902,818,5,25,14,"1:35.815","1:35.286","NULL"
5918,902,821,15,21,15,"1:36.567","1:35.891","NULL"
5919,902,154,208,8,16,"1:36.654","1:35.908","NULL"
5920,902,813,208,13,17,"1:36.663","","NULL"
5921,902,16,15,99,18,"1:36.840","","NULL"
5922,902,155,207,10,19,"1:37.085","","NULL"
5923,902,824,206,17,20,"1:37.310","","NULL"
5924,902,828,207,9,21,"1:37.875","","NULL"
5925,902,820,206,4,22,"1:37.913","","NULL"
5950,903,1,131,44,1,"1:55.516","1:54.029","1:53.860"
5951,903,817,9,3,2,"1:56.641","1:55.302","1:54.455"
5952,903,20,9,1,3,"1:55.926","1:54.499","1:54.960"
5953,903,3,131,6,4,"1:56.058","1:55.294","1:55.143"
5954,903,4,6,14,5,"1:56.961","1:55.765","1:55.637"
5955,903,13,3,19,6,"1:56.850","1:56.757","1:56.147"
5956,903,822,3,77,7,"1:56.501","1:56.253","1:56.282"
5957,903,807,10,27,8,"1:55.913","1:56.847","1:56.366"
5958,903,818,5,25,9,"1:57.477","1:56.584","1:56.773"
5959,903,154,208,8,10,"1:58.411","1:56.407","1:57.079"
5960,903,8,6,7,11,"1:58.279","1:56.860","NULL"
5961,903,18,1,22,12,"1:57.783","1:56.963","NULL"
5962,903,826,5,26,13,"1:57.261","1:57.289","NULL"
5963,903,16,15,99,14,"1:58.138","1:57.393","NULL"
5964,903,825,1,20,15,"1:57.369","1:57.675","NULL"
5965,903,815,10,11,16,"1:58.362","1:58.264","NULL"
5966,903,821,15,21,17,"1:58.988","","NULL"
5967,903,155,207,10,18,"1:59.260","","NULL"
5968,903,824,206,17,19,"1:59.326","","NULL"
5969,903,828,207,9,20,"2:00.646","","NULL"
5970,903,820,206,4,21,"2:00.865","","NULL"
5971,903,813,208,13,22,"","","NULL"
5972,904,1,131,44,1,"1:27.238","1:26.210","1:25.232"
5973,904,3,131,6,2,"1:26.764","1:26.088","1:25.400"
5974,904,817,9,3,3,"1:28.053","1:26.613","1:26.285"
5975,904,822,3,77,4,"1:28.198","1:27.563","1:26.632"
5976,904,154,208,8,5,"1:28.472","1:27.258","1:26.960"
5977,904,8,6,7,6,"1:28.308","1:27.335","1:27.104"
5978,904,4,6,14,7,"1:28.329","1:27.602","1:27.140"
5979,904,18,1,22,8,"1:28.279","1:27.570","1:27.335"
5980,904,13,3,19,9,"1:28.061","1:27.016","1:27.402"
5981,904,20,9,1,10,"1:27.958","1:27.052","NULL"
5982,904,807,10,27,11,"1:28.155","1:27.685","NULL"
5983,904,815,10,11,12,"1:28.469","1:28.002","NULL"
5984,904,826,5,26,13,"1:28.074","1:28.039","NULL"
5985,904,821,15,21,14,"1:28.374","1:28.280","NULL"
5986,904,825,1,20,15,"1:28.389","","NULL"
5987,904,818,5,25,16,"1:28.194","","NULL"
5988,904,16,15,99,17,"1:28.563","","NULL"
5989,904,820,206,4,18,"1:29.586","","NULL"
5990,904,824,206,17,19,"1:30.177","","NULL"
5991,904,828,207,9,20,"1:30.312","","NULL"
5992,904,155,207,10,21,"1:30.375","","NULL"
5993,904,813,208,13,22,"","","NULL"
5994,905,3,131,6,1,"1:17.678","1:16.465","1:15.989"
5995,905,1,131,44,2,"1:17.823","1:16.354","1:16.048"
5996,905,817,9,3,3,"1:17.900","1:17.233","1:16.384"
5997,905,20,9,1,4,"1:18.383","1:17.074","1:16.547"
5998,905,4,6,14,5,"1:17.853","1:17.200","1:16.686"
5999,905,8,6,7,6,"1:17.902","1:17.398","1:17.389"
6000,905,818,5,25,7,"1:17.557","1:17.657","1:17.540"
6001,905,825,1,20,8,"1:17.978","1:17.609","1:17.555"
6002,905,826,5,26,9,"1:18.616","1:17.594","1:18.090"
6003,905,815,10,11,10,"1:18.108","1:17.755","1:18.327"
6004,905,807,10,27,11,"1:18.432","1:17.846","NULL"
6005,905,18,1,22,12,"1:17.890","1:17.988","NULL"
6006,905,822,3,77,13,"1:18.407","1:18.082","NULL"
6007,905,154,208,8,14,"1:18.335","1:18.196","NULL"
6008,905,813,208,13,15,"1:18.585","1:18.356","NULL"
6009,905,13,3,19,16,"1:18.209","","NULL"
6010,905,821,15,21,17,"1:18.741","","NULL"
6011,905,16,15,99,18,"1:18.745","","NULL"
6012,905,824,206,17,19,"1:19.332","","NULL"
6013,905,820,206,4,20,"1:19.928","","NULL"
6014,905,155,207,10,21,"1:20.133","","NULL"
6015,905,828,207,9,22,"1:21.732","","NULL"
6016,906,3,131,6,1,"1:16.471","1:15.289","1:14.874"
