"resultId","raceId","driverId","constructorId","number","grid","position","positionText","positionOrder","points","laps","time","milliseconds","fastestLap","rank","fastestLapTime","fastestLapSpeed","statusId"
22130,900,3,131,6,3,1,"1",1,25,57,"32:58.7",5578710,19,1,"01:32.5","206.436",1
22131,900,825,1,20,4,2,"2",2,18,57,"26.777",5605487,49,6,"01:33.1","205.131",1
22132,900,18,1,22,10,3,"3",3,15,57,"30.027",5608737,39,5,"01:32.9","205.46",1
22133,900,4,6,14,5,4,"4",4,12,57,"35.284",5613994,57,7,"01:33.2","204.867",1
22134,900,822,3,77,15,5,"5",5,10,57,"47.639",5626349,56,3,"01:32.6","206.128",1
22135,900,807,10,27,7,6,"6",6,8,57,"50.718",5629428,56,2,"01:32.6","206.235",1
22136,900,8,6,7,11,7,"7",7,6,57,"57.675",5636385,56,8,"01:33.2","204.814",1
22137,900,818,5,25,6,8,"8",8,4,57,"+1:00.441",5639151,56,10,"01:33.7","203.763",1
22138,900,826,5,26,8,9,"9",9,2,57,"+1:03.585",5642295,35,11,"01:33.9","203.387",1
22139,900,815,10,11,16,10,"10",10,1,57,"+1:25.916",5664626,38,4,"01:32.6","206.088",1
22140,900,16,15,99,13,11,"11",11,0,56,"",NA,34,9,"01:33.4","204.472",11
22141,900,821,15,21,20,12,"12",12,0,56,"",NA,41,13,"01:34.6","201.882",11
22142,900,820,206,4,17,13,"13",13,0,55,"",NA,33,12,"01:34.2","202.658",12
22143,900,824,206,17,18,NA,"N",14,0,49,"",NA,55,16,"01:35.6","199.621",18
22144,900,154,208,8,22,NA,"R",15,0,43,"",NA,41,15,"01:35.3","200.363",132
22145,900,813,208,13,21,NA,"R",16,0,29,"",NA,30,14,"01:34.8","201.451",132
22146,900,828,207,9,19,NA,"R",17,0,27,"",NA,17,18,"01:37.3","196.141",51
22147,900,20,9,1,12,NA,"R",18,0,3,"",NA,26,17,"01:37.1","196.682",5
22148,900,1,131,44,1,NA,"R",19,0,2,"",NA,2,20,"01:49.9","173.636",5
22149,900,13,3,19,9,NA,"R",20,0,0,"",NA,2,19,"01:40.3","190.361",4
22150,900,155,207,10,14,NA,"R",21,0,0,"",NA,NA,0,"","",4
22151,900,817,9,3,2,NA,"D",22,0,57,"24.525",5603235,NA,0,"","",2
22152,901,1,131,44,1,1,"1",1,25,56,"40:26.0",6025974,53,1,"01:43.1","193.611",1
22153,901,3,131,6,3,2,"2",2,18,56,"17.313",6043287,55,2,"01:44.0","191.946",1
22154,901,20,9,1,2,3,"3",3,15,56,"24.534",6050508,51,4,"01:44.3","191.341",1
22155,901,4,6,14,4,4,"4",4,12,56,"35.992",6061966,47,3,"01:44.2","191.569",1
22156,901,807,10,27,7,5,"5",5,10,56,"47.199",6073173,38,10,"01:46.0","188.284",1
22157,901,18,1,22,10,6,"6",6,8,56,"+1:23.691",6109665,47,11,"01:46.0","188.183",1
22158,901,13,3,19,13,7,"7",7,6,56,"+1:25.076",6111050,44,6,"01:44.9","190.232",1
22159,901,822,3,77,18,8,"8",8,4,56,"+1:25.537",6111511,31,9,"01:45.5","189.189",1
22160,901,825,1,20,8,9,"9",9,2,55,"",NA,44,8,"01:45.4","189.372",11
22161,901,826,5,26,11,10,"10",10,1,55,"",NA,36,13,"01:46.7","187.026",11
22162,901,154,208,8,15,11,"11",11,0,55,"",NA,42,12,"01:46.2","187.855",11
22163,901,8,6,7,6,12,"12",12,0,55,"",NA,36,7,"01:45.1","189.812",11
22164,901,155,207,10,20,13,"13",13,0,55,"",NA,53,15,"01:47.8","185.19",11
22165,901,828,207,9,22,14,"14",14,0,54,"",NA,40,14,"01:47.5","185.626",12
22166,901,820,206,4,21,15,"15",15,0,54,"",NA,49,18,"01:48.2","184.341",12
22167,901,817,9,3,5,NA,"R",16,0,49,"",NA,48,5,"01:44.7","190.635",39
